label,angry,bored,disgust,happy,sad,shy,stressed,surprised
sad,0.00,0.00,0.00,0.29,0.45,0.27,0.00,0.00
sad,0.00,0.00,0.00,0.27,0.45,0.28,0.00,0.00
sad,0.00,0.00,0.00,0.29,0.45,0.25,0.00,0.00
sad,0.00,0.00,0.00,0.28,0.46,0.25,0.00,0.00
sad,0.00,0.00,0.00,0.29,0.43,0.28,0.00,0.00
happy,0.00,0.00,0.00,0.36,0.34,0.30,0.00,0.00
sad,0.00,0.00,0.00,0.34,0.38,0.27,0.00,0.00
happy,0.00,0.00,0.00,0.46,0.24,0.30,0.00,0.00
sad,0.00,0.00,0.00,0.40,0.57,0.02,0.00,0.00
happy,0.00,0.00,0.00,0.99,0.00,0.00,0.00,0.00
happy,0.00,0.24,0.00,0.72,0.02,0.00,0.00,0.01
happy,0.00,0.15,0.00,0.80,0.02,0.00,0.00,0.02
happy,0.00,0.07,0.00,0.84,0.03,0.00,0.00,0.05
happy,0.00,0.01,0.00,0.56,0.38,0.00,0.00,0.04
happy,0.00,0.00,0.00,0.44,0.35,0.01,0.00,0.20
sad,0.00,0.00,0.00,0.09,0.91,0.00,0.00,0.00
sad,0.00,0.00,0.00,0.12,0.88,0.00,0.00,0.00
sad,0.00,0.00,0.00,0.16,0.82,0.00,0.00,0.01
sad,0.00,0.00,0.00,0.19,0.80,0.00,0.00,0.01
sad,0.00,0.00,0.00,0.09,0.90,0.00,0.00,0.00
sad,0.00,0.00,0.00,0.20,0.80,0.00,0.00,0.00
happy,0.00,0.00,0.00,0.49,0.47,0.00,0.00,0.04
sad,0.00,0.00,0.00,0.48,0.52,0.00,0.00,0.00
happy,0.00,0.00,0.00,0.94,0.06,0.00,0.00,0.00
happy,0.00,0.00,0.00,0.60,0.39,0.00,0.00,0.00
happy,0.00,0.00,0.00,0.50,0.49,0.00,0.00,0.00
happy,0.00,0.00,0.00,0.57,0.43,0.01,0.00,0.00
happy,0.00,0.00,0.00,0.60,0.39,0.00,0.00,0.00
happy,0.00,0.00,0.00,0.84,0.16,0.00,0.00,0.00
happy,0.00,0.00,0.00,0.84,0.13,0.02,0.00,0.00
happy,0.00,0.00,0.00,0.79,0.11,0.10,0.00,0.00
happy,0.00,0.00,0.00,0.73,0.13,0.13,0.00,0.00
happy,0.00,0.00,0.00,0.80,0.04,0.16,0.00,0.00
happy,0.00,0.00,0.00,0.75,0.03,0.21,0.00,0.00
happy,0.00,0.00,0.00,0.85,0.01,0.13,0.00,0.00
happy,0.00,0.00,0.00,0.82,0.01,0.17,0.00,0.00
happy,0.00,0.00,0.00,0.67,0.01,0.31,0.00,0.00
happy,0.00,0.00,0.00,0.57,0.04,0.38,0.00,0.00
happy,0.00,0.00,0.00,0.71,0.03,0.26,0.00,0.00
happy,0.00,0.00,0.00,0.57,0.03,0.39,0.00,0.00
happy,0.00,0.02,0.00,0.68,0.05,0.25,0.00,0.00
happy,0.00,0.00,0.00,0.57,0.03,0.39,0.00,0.00
happy,0.00,0.00,0.00,0.79,0.01,0.19,0.00,0.00
happy,0.00,0.00,0.00,0.81,0.01,0.18,0.00,0.00
happy,0.00,0.00,0.00,0.79,0.01,0.20,0.00,0.00
happy,0.00,0.00,0.00,0.88,0.01,0.11,0.00,0.00
happy,0.00,0.00,0.00,0.78,0.01,0.20,0.00,0.00
happy,0.00,0.00,0.00,0.90,0.01,0.09,0.00,0.00
happy,0.00,0.00,0.00,0.83,0.01,0.16,0.00,0.00
happy,0.00,0.00,0.00,0.55,0.02,0.43,0.00,0.00
happy,0.00,0.00,0.00,0.57,0.02,0.41,0.00,0.00
happy,0.00,0.00,0.00,0.58,0.01,0.41,0.00,0.00
happy,0.00,0.01,0.00,0.63,0.05,0.31,0.00,0.00
happy,0.00,0.01,0.00,0.61,0.03,0.35,0.00,0.00
happy,0.00,0.00,0.00,0.78,0.01,0.20,0.00,0.00
